name;id;wikidataId;firstAuthor;numOfCoAuthors;title;subtitle;normalizedGenre;digitalSource;originalSourcePublisher;originalSourcePubPlace;originalSourceYear;originalSourceNumberOfPages;yearNormalized;size;libretto;averageClustering;density;averagePathLength;maxDegreeIds;averageDegree;diameter;datePremiered;yearPremiered;yearPrinted;maxDegree;numOfSpeakers;numOfSpeakersFemale;numOfSpeakersMale;numOfSpeakersUnknown;numOfPersonGroups;numConnectedComponents;numEdges;yearWritten;numOfSegments;wikipediaLinkCount;numOfActs;wordCountText;wordCountSp;wordCountStage;numOfP;numOfL;numOfSpeakersFemaleAndMale
benedix-die-luegnerin;ger000354;Q52785236;Benedix;0;Die Lügnerin;Lustspiel in einem Aufzuge;Comedy;http://www.textgridrep.org/textgrid:kjfz.0;;;;;1849;8;FALSCH;9,40E+15;8,21E+15;1,18E+16;constanze|moritz;575;2;;1849;1851;7;8;3;5;0;0;1;23;1848;8;0;0;6464;6302;708;360;0;not equal
benedix-doctor-wespe;ger000502;Q99458552;Benedix;0;Doctor Wespe;Lustspiel in fünf Aufzügen;Comedy;https://books.google.com/books?id=9_1_hF3PeTsC&pg=PA159;;;;;1842;12;FALSCH;8,15E+15;6,67E+15;1,35E+16;thekla|theudelinde;7,33E+15;3;;1842;1844;10;12;5;7;0;0;1;44;1841;51;1;9;23310;22847;1656;1326;25;not equal
benedix-eigensinn;ger000720;Q133263257;Benedix;0;Eigensinn;Lustspiel in einem Aufzuge;Comedy;https://books.google.com/books?id=gCxYhq9eqQ4C&pg=PA119;Weber;Leipzig;1849;32;1847;6;FALSCH;1;1;1;several characters;5;1;;1847;1849;5;6;3;3;0;0;1;15;;6;0;0;5322;5168;1150;352;0;equal
benedix-johanna-sebus;ger000721;Q133258186;Benedix;0;Johanna Sebus;Drama in 1 Akt;;https://resolver.staatsbibliothek-berlin.de/SBB0003846400000000;Char;Cleve;1835;28;1835;13;FALSCH;7,84E+15;3,08E+15;1,55E+16;schmuggler;3,69E+16;3;;;1835;7;13;3;9;1;1;2;24;;23;0;0;6986;6677;455;252;16;not equal
benedix-unerschuetterlich;ger000651;Q123168591;Benedix;0;Unerschütterlich;Vorspiel in einem Aufzuge;;https://de.wikisource.org/wiki/Unerschütterlich;Weber;Leipzig;1848;22;1847;4;FALSCH;1;1;1;several characters;3;1;###############################################################################################################################################################################################################################################################;1847;1848;3;4;2;2;0;0;1;6;1845;7;0;0;3717;3638;354;243;0;equal
benkowitz-die-jubelfeier-der-hoelle;ger000314;Q52885175;Benkowitz;0;Die Jubelfeier der Hölle, oder Faust der jüngere;Ein Drama zum Anfang des neunzehnten Jahrhunderts;;http://www.textgridrep.org/textgrid:kjgc.0;;;;;1801;24;FALSCH;7,99E+15;3,08E+15;1,92E+16;satan;7,08E+15;3;;;1801;17;24;4;20;0;1;1;85;;68;0;5;27726;26285;2623;993;7;not equal
berg-kalisch-berlin-wie-es-weint-und-lacht;ger000128;Q52885370;Berg;1;Berlin, wie es weint und lacht;Volksstück mit Gesang in 3 Aufzügen und 11 Bildern;;http://www.textgridrep.org/textgrid:kjgj.0;;;;;1858;35;FALSCH;6,93E+15;1,97E+16;2,05E+16;ferdinand;6,69E+15;4;;1858;1858;20;35;10;22;3;0;2;117;;54;0;3;18624;17194;3779;636;477;not equal
bernard-faust;ger000242;Q1126880;Bernard;0;Faust;Große romantische Oper in drei Akten;;http://www.textgridrep.org/textgrid:kjgv.0;;;;;1816;22;WAHR;8,00E+15;4,46E+15;1,58E+16;chor;9,36E+15;3;;1816;;19;22;7;12;3;7;1;103;;46;9;3;10145;9458;1945;0;1434;not equal
beyer-der-hausherr-in-der-klemme;ger000582;Q111939679;Beyer;0;Der Hausherr in der Klemme;Ein Spiel in Versen in einem Aufzug;Comedy;https://de.wikisource.org/wiki/Der_Hausherr_in_der_Klemme;Stage;Augsburg und Leipzig;1813;34;1813;2;FALSCH;0;1;1;der_hausherr|die_haushaelterin;1;1;;;1813;1;2;1;1;0;0;1;1;;9;0;0;4884;4770;472;0;503;equal
bierbaum-stella-und-antonie;ger000604;Q116445875;Bierbaum;0;Stella und Antonie;Schauspiel in vier Aufzügen;;https://www.projekt-gutenberg.org/bierbaum/stelanto/index.html;Langen;München;1903;162;1903;20;FALSCH;8,78E+15;6,58E+15;1,34E+16;johann_christian|antonie;125;2;26.09.03;1903;1903;19;20;6;13;1;3;1;125;;4;0;4;23474;22467;4053;708;237;not equal
birch-pfeiffer-die-grille;ger000599;Q116008549;Birch-Pfeiffer;0;Die Grille;Ländliches Charakterbild in fünf Aufzügen. Mit teilweiser Benutzung einer Erzählung der George Sand;;https://www.projekt-gutenberg.org/birchpf/grille/index.html;Hendel;Halle a. d. S.;1899;84;1856;18;FALSCH;8,09E+15;4,84E+16;1,59E+16;fanchon|didier;8,22E+15;3;###############################################################################################################################################################################################################################################################;1856;1856;15;18;8;9;1;2;1;74;;53;0;5;27269;25452;6302;792;15;not equal
birch-pfeiffer-die-walpurgisnacht;ger000151;Q52886267;Birch-Pfeiffer;0;Die Walpurgisnacht;Dramatisches Volksmärchen in vier Acten;;http://www.textgridrep.org/textgrid:kmdk.0;;;;;1830;26;FALSCH;8,02E+15;2;2,06E+16;else;5;4;;1830;1866;19;26;9;13;4;5;1;65;1827;42;0;4;17810;16944;3251;459;120;not equal
birch-pfeiffer-in-der-heimath;ger000268;Q52886301;Birch-Pfeiffer;0;In der Heimath;Original-Schauspiel in fünf Acten;;http://www.textgridrep.org/textgrid:kmdh.0;;;;;1865;18;FALSCH;8,29E+15;5,29E+15;1,52E+15;rose;9;3;;1865;1865;15;18;8;10;0;0;1;81;;39;0;5;25239;24493;4202;861;0;not equal
birch-pfeiffer-johannes-gutenberg;ger000411;Q52087355;Birch-Pfeiffer;0;Johannes Gutenberg;Original-Schauspiel in drei Abtheilungen;;http://www.textgridrep.org/textgrid:kmdp.0;;;;;1835;14;FALSCH;6,45E+15;4,07E+15;1,67E+16;guttenberg;5,29E+15;3;;1835;1836;10;14;5;9;0;0;1;37;1834;33;0;5;19071;18578;2981;359;34;not equal
birch-pfeiffer-mutter-und-tochter;ger000674;Q124349835;Birch-Pfeiffer;0;Mutter und Tochter;Original-Schauspiel in vier Acten;;https://books.google.com/books?id=laM7AAAAcAAJ&pg=PA177;Reclam;Leipzig;1866;125;1844;15;FALSCH;7,90E+15;5,71E+15;1,45E+16;ottilie;8;3;;1844;1847;13;15;8;7;0;0;1;60;1844;53;0;4;24785;24267;4236;803;0;not equal
birch-pfeiffer-pfeffer-roesel;ger000247;Q52886335;Birch-Pfeiffer;0;Pfeffer-Rösel oder Die Frankfurter Messe im Jahre 1297;Schauspiel in fünf Aufzügen;;http://www.textgridrep.org/textgrid:kmdw.0;;;;;1829;40;FALSCH;8,34E+15;4,14E+16;1,71E+15;roesel|bandini;1615;4;;1829;1833;32;40;6;31;3;4;1;323;;37;0;5;19919;18380;4849;446;18;not equal
birch-pfeiffer-vatersorgen;ger000092;Q52743300;Birch-Pfeiffer;0;Vatersorgen;Komisches Zeitgemälde in drei Akten;Comedy;http://www.textgridrep.org/textgrid:kmdt.0;;;;;1849;13;FALSCH;8,63E+15;5,51E+15;1,45E+16;krabbe|baron;6,62E+15;2;;1850;1849;12;13;4;9;0;0;1;43;1849;45;0;3;20527;20131;3473;738;0;not equal
bleibtreu-ein-faust-der-that;ger000322;Q51450463;Bleibtreu;0;Ein Faust der That;Tragödie in fünf Akten;Tragedy;http://www.textgridrep.org/textgrid:kmq3.0;;;;;1889;23;FALSCH;9,11E+15;8,30E+15;1,17E+16;several characters;1,83E+15;2;;;1889;22;23;0;22;1;2;1;210;;5;0;5;36294;35603;3036;1401;40;not equal
bleibtreu-weltgericht;ger000065;Q51450656;Bleibtreu;0;Weltgericht;Tragödie in 2 Theilen und 5 Akten;Tragedy;http://www.textgridrep.org/textgrid:kmqb.0;Max Simson;Charlottenburg;1888;72;1888;49;FALSCH;9,11E+15;4,91E+15;1,51E+16;talleyrand|barras;2,36E+16;2;12.04.02;1902;1888;48;49;8;38;3;3;1;578;;6;0;5;17550;16894;3914;1060;19;not equal
blumenthal-im-weissen-roessl;ger000165;Q52886502;Blumenthal;1;Im weißen Rößl;Lustspiel in drei Aufzügen;Comedy;http://www.textgridrep.org/textgrid:knb2.0;;;;;1898;36;FALSCH;8,94E+15;5,56E+15;1,42E+16;leopold;1,94E+16;3;;1898;1898;33;36;13;23;0;0;2;350;;38;0;3;23477;22514;3154;1270;32;not equal
bodmer-odoardo-galotti-vater-der-emilia;ger000449;Q51450870;Bodmer;0;Odoardo Galotti, Vater der Emilia;Ein Pendant zu Emilia. In einem Aufzuge und Epilogus zur Emilia Galotti;;http://www.textgridrep.org/textgrid:kp19.0;;;;;1778;6;FALSCH;3,89E+16;3,33E+15;17;odoardo;1,67E+16;3;;;1778;3;6;3;3;0;0;2;5;1773;6;0;0;5409;5333;117;74;6;equal
bodmer-polytimet;ger000617;Q118693622;Bodmer;0;Polytimet;Ein Trauerspiel. Durch Lessings Philotas, oder ungerathenen Helden veranlasset;Tragedy;https://resolver.staatsbibliothek-berlin.de/SBB0000D7EC00000000;Orell;Zürich;1760;58;1760;6;FALSCH;6,78E+15;6;14;polemon;3;2;;;1760;5;6;0;6;0;0;1;9;;7;0;0;5658;3974;20;56;0;not equal
boesenberg-die-amerikanische-waise;ger000683;Q124796383;Bösenberg;0;Die amerikanische Waise;Ein Lustspiel in einem Aufzuge;Comedy;https://books.google.com/books?id=uZdOILveuh0C&printsec=frontcover;ohne Verlag;ohne Ort;1791;53;1791;6;FALSCH;1;1;1;several characters;5;1;###############################################################################################################################################################################################################################################################;1795;1791;5;6;3;3;0;0;1;15;;22;0;0;10204;9957;498;291;0;equal
boettger-das-kaffee-haus-zu-paris;ger000662;Q124013500;Böttger;0;Das Kaffee-Haus zu Paris;Ein Lustspiel in einem Akte;Comedy;https://books.google.com/books?id=ahBaAAAAcAAJ&pg=PA51;Groß;Nordhausen;1780;58;1780;12;FALSCH;8,62E+15;7,12E+15;1,29E+16;coronis|der_ritter;7,83E+15;2;;;1780;11;12;2;10;0;0;1;47;;18;0;0;7081;6799;361;242;24;not equal
borchert-draussen-vor-der-tuer;ger000476;Q1255949;Borchert;0;Draußen vor der Tür;Ein Stück, das kein Theater spielen und kein Publikum sehen will;;https://www.projekt-gutenberg.org/borchert/draussen/index.html;;;;;1947;16;FALSCH;8,56E+14;4,33E+16;1,67E+16;beckmann;65;3;;1947;1947;12;16;4;9;3;0;1;52;1947;7;8;0;18969;18439;627;546;38;not equal
borkenstein-der-bookesbeutel;ger000347;Q51451132;Borkenstein;0;Der Bookesbeutel;Ein Lustspiel von Drey Aufzügen;Comedy;http://www.textgridrep.org/textgrid:kpkv.0;;;;;1741;9;FALSCH;9,52E+15;8,33E+15;1,17E+16;agneta|susanna;6,67E+15;2;;1741;1742;8;9;5;4;0;1;1;30;;27;0;3;18363;18089;295;566;3;not equal
bossdorf-bahnmeister-dood;ger000199;Q52886683;Boßdorf;0;Bahnmeister Dood;En nedderdüütsch Drama in fief Akten;;http://www.textgridrep.org/textgrid:kpsp.0;;;;;1919;4;FALSCH;1;1;1;several characters;3;1;;1919;1919;3;4;2;2;0;0;1;6;;5;0;5;19757;19322;3189;747;0;equal
bossdorf-de-rode-uennerrock;ger000419;Q52886831;Boßdorf;0;De rode Ünnerrock;Nedderdüütsche Volkskomeedi in fief Akten;Comedy;http://www.textgridrep.org/textgrid:kpsk.0;;;;;1921;5;FALSCH;1;1;1;several characters;4;1;;1921;1921;4;5;1;4;0;0;1;10;;5;0;5;20281;19966;3869;1114;0;not equal
brachvogel-narziss;ger000473;Q64711356;Brachvogel;0;Narziß;Ein Trauerspiel in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:kq01.0;;;;;1856;35;FALSCH;8,59E+15;3,97E+16;1,64E+16;choiseul;1,35E+16;3;;1856;1857;28;35;9;25;1;6;1;236;1855;44;1;5;21928;19117;3124;635;35;not equal
brandes-ariadne-auf-naxos;ger000048;Q4790181;Brandes;0;Ariadne auf Naxos;Ein Duodrama mit Musick;;http://www.textgridrep.org/textgrid:kq0w.0;;;;;1775;3;WAHR;0;6,67E+15;1,33E+16;ariadne;1,33E+16;2;;1775;;2;3;2;1;0;0;1;2;;2;4;0;2472;1930;305;0;184;not equal
brandes-hans-von-zanow-oder-der-landjunker-in-berlin;ger000610;Q117067928;Brandes;0;Hans von Zanow oder: Der Landjunker in Berlin;Ein Lustspiel in fünf Aufzügen;Comedy;https://books.google.com/books?id=be9VLwc--IoC&printsec=frontcover;Bohn;Hamburg;1785;134;1785;17;FALSCH;7,90E+15;4,56E+16;1,54E+16;hans|lieschen;7,29E+15;2;###############################################################################################################################################################################################################################################################;1785;1785;16;17;4;13;0;0;1;62;;54;0;5;20358;19044;1602;1043;0;not equal
brandes-ino;ger000177;Q52087857;Brandes;0;Ino;Ein Melodrama;;http://www.textgridrep.org/textgrid:kq0s.0;;;;;1779;9;WAHR;6,56E+15;3,89E+15;1,94E+16;chor;3,11E+15;4;;1779;1779;6;9;3;1;5;4;1;14;1777;11;0;0;2468;2096;311;185;52;not equal
braun-mutter-maria;ger000573;Q112567926;Braun;0;Mutter Maria;Eine Tragödie in fünf Akten;Tragedy;https://www.projekt-gutenberg.org/braun/mutterma/index.html;;;;;1913;91;FALSCH;9,29E+15;4,91E+15;1,51E+16;several characters;4,42E+16;2;;1913;1913;90;91;24;64;3;5;1;2010;;5;0;5;18613;18023;3582;0;2214;not equal
braun-von-braunthal-das-nachtlager-von-granada;ger000202;Q371048;Braun von Braunthal;0;Das Nachtlager von Granada;Romantische Oper in zwei Aufzügen;;http://www.textgridrep.org/textgrid:kq6g.0;;;;;1834;11;WAHR;8,80E+15;6,91E+15;1,31E+15;gabriele|jaeger|chor_der_hirten;6,91E+15;2;;1834;;10;11;1;9;1;3;1;38;;19;6;2;9227;8758;2556;0;1096;not equal
