name;id;wikidataId;firstAuthor;numOfCoAuthors;title;subtitle;normalizedGenre;digitalSource;originalSourcePublisher;originalSourcePubPlace;originalSourceYear;originalSourceNumberOfPages;yearNormalized;size;libretto;averageClustering;density;averagePathLength;maxDegreeIds;averageDegree;diameter;datePremiered;yearPremiered;yearPrinted;maxDegree;numOfSpeakers;numOfSpeakersFemale;numOfSpeakersMale;numOfSpeakersUnknown;numOfPersonGroups;numConnectedComponents;numEdges;yearWritten;numOfSegments;wikipediaLinkCount;numOfActs;wordCountText;wordCountSp;wordCountStage;numOfP;numOfL;numOfSpeakersFemaleAndMale
fouque-sigurds-rache;ger000470;Q59786088;Fouqué;0;Sigurds Rache;Ein Heldenspiel in sechs Abentheuren;;http://www.textgridrep.org/textgrid:n23j.0;;;;;1810;50;FALSCH;8,80E+15;3,64E+15;1,66E+16;gudruna;1784;3;;;1810;44;50;8;41;1;3;1;446;;11;0;6;22288;21664;1008;0;3042;not equal
frank-sturm-im-wasserglas;ger000712;Q18631338;Frank;0;Sturm im Wasserglas;Komödie in drei Akten;Comedy;https://commons.wikimedia.org/wiki/File:Sturm_im_Wasserglas,_Frank_1930.5.pdf;Drei Masken Verlag;München;1930;156;1930;15;FALSCH;9,38E+15;8,67E+15;1,13E+16;several characters;1,21E+16;2;29.08.30;1930;1930;14;15;4;11;0;0;1;91;;3;0;0;20434;18968;3324;1281;8;not equal
frech-von-ehrimfeld-die-gefahr;ger000717;Q132172273;Frech;0;Die Gefahr;Eine dramatische Situation;;https://books.google.com/books?id=6qdIAAAAcAAJ&printsec=frontcover;Wallishausser;Wien;1804;14;1804;1;FALSCH;0;0;0;stephan;0;0;;;1804;0;1;0;1;0;0;1;0;;1;0;0;1363;1315;38;12;0;not equal
freisleben-der-weihnachtstag;ger000638;Q121590873;Freisleben;0;Der Weihnachtstag;Drama in Einem Aufzuge. Bearbeitet nach einer Schreckensscene aus der wirklichen Welt;;https://books.google.com/books?id=vchIAAAAcAAJ&pg=PA103;Grüning;Bernburg;1827;16;1827;4;FALSCH;1;1;1;several characters;3;1;;;1827;3;4;1;3;0;0;1;6;;6;0;0;2105;1931;444;0;218;not equal
freytag-der-gelehrte;ger000508;Q101018064;Freytag;0;Der Gelehrte;Trauerspiel in einem Act;Tragedy;https://books.google.com/books?id=gREpl62Am2UC&pg=PA113;;;;;1848;8;FALSCH;8,46E+15;5;15;walter;35;2;;;1848;7;8;1;6;1;1;1;14;1844;16;0;0;7075;6805;382;0;979;not equal
freytag-die-journalisten;ger000365;Q50540645;Freytag;0;Die Journalisten;Lustspiel in vier Akten;Comedy;http://www.textgridrep.org/textgrid:n2k7.0;;;;;1852;24;FALSCH;8,77E+15;7,39E+15;1,26E+16;bolz|bellmaus;17;2;;1852;1854;23;24;5;19;0;1;1;204;;7;1;4;27820;27425;2476;1065;13;not equal
freytag-graf-waldemar;ger000233;Q51506918;Freytag;0;Graf Waldemar;Schauspiel in fünf Akten;;http://www.textgridrep.org/textgrid:n2kq.0;;;;;1848;19;FALSCH;8,37E+15;5,56E+15;1,44E+16;waldemar;10;2;;1848;1850;18;19;5;14;0;0;1;95;1847;7;0;5;22794;22520;1528;785;0;not equal
ganghofer-der-herrgottschnitzer-von-ammergau;ger000376;Q52895174;Ganghofer;0;Der Herrgottschnitzer von Ammergau;Volksschauspiel in 5 Aufzügen;;http://www.textgridrep.org/textgrid:n3cn.0;;;;;1880;22;FALSCH;7,92E+15;5,45E+15;1,48E+16;loisl;1,15E+16;3;;1880;1880;19;22;7;15;0;2;1;126;;47;0;5;23977;23286;2535;949;100;not equal
gasser-ramirus;ger000658;Q123824760;Sager;0;Ramirus;in einem Aufzuge;;https://books.google.com/books?id=rNVNAAAAcAAJ&pg=PA101;Rieger;Augsburg;;28;1775;7;FALSCH;8,86E+15;7,14E+15;1,29E+16;melinde|alcmeon;4,29E+15;2;;;1775;6;7;2;5;0;0;1;15;;10;0;0;4612;4505;67;116;0;not equal
gehe-jessonda;ger000026;Q1409734;Gehe;0;Jessonda;Oper in drei Aufzügen;;http://www.textgridrep.org/textgrid:n3dj.0;;;;;1828;14;WAHR;9,42E+15;9,23E+15;1,08E+16;several characters;12;2;;1828;;13;14;6;8;0;5;1;84;;3;3;3;5007;4909;33;0;945;not equal
gellert-die-betschwester;ger000124;Q1211320;Gellert;0;Die Betschwester;Lustspiel;Comedy;http://www.textgridrep.org/textgrid:n79j.0;Insel Verlag;Frankfurt/Main;1979;53;1745;5;FALSCH;1;1;1;several characters;4;1;;1745;1745;4;5;3;2;0;0;1;10;;25;1;3;18400;18231;150;414;0;not equal
gellert-die-zaertlichen-schwestern;ger000326;Q1219978;Gellert;0;Die zärtlichen Schwestern;Ein Lustspiel in drei Aufzügen;Comedy;http://www.textgridrep.org/textgrid:n750.0;Insel Verlag;Frankfurt/Main;1979;69;1747;8;FALSCH;9,29E+15;8,57E+15;1,14E+16;siegmund|lottchen|simon;6;2;;1747;1747;7;8;2;6;0;0;1;24;;53;1;3;23295;22998;411;615;0;not equal
gemmingen-hornberg-der-deutsche-hausvater;ger000189;Q52895487;Gemmingen-Hornberg;0;Der deutsche Hausvater oder die Familie;Ein Schauspiel;;http://www.textgridrep.org/textgrid:n7rr.0;;;;;1779;22;FALSCH;8,30E+15;3,42E+14;1,75E+16;karl|hausvater;7,18E+15;3;;1779;1780;16;22;6;16;0;0;1;79;;40;0;7;20157;19198;1782;957;0;not equal
gengenbach-der-nollhart;ger000697;Q125280256;Gengenbach;0;Der Nollhart;Diß sind die prophetien sancti Methodii vnd Nollhardi [...];Comedy;http://www.textgridrep.org/textgrid:n7s9.0;Rümpler;Hannover;1856;40;1515;14;FALSCH;1;1;1;several characters;13;1;;1515;1517;13;14;2;12;0;0;1;91;;1;0;0;8863;8076;41;0;1301;not equal
gennep-homulus;ger000647;Q123019087;Gennep;0;Homulus (Der sünden loin ist der Toid);Geistliches Schauspiel;;https://books.google.com/books?id=OQNIqnBQ8XEC&printsec=frontcover;Bädeker;Viersen;1873;32;1539;32;FALSCH;1;1;1;several characters;31;1;;1539;1540;31;32;4;13;15;1;1;496;;1;0;1;15991;14749;364;1;1973;not equal
gerhaeuser-der-moloch;ger000398;Q52895614;Gerhäuser;0;Der Moloch;Musikalische Tragödie in drei Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:ndmr.0;;;;;1906;22;FALSCH;8,37E+15;3,98E+16;1,68E+15;frauen|volk|teut;8,36E+15;3;;1906;;16;22;3;11;8;12;1;92;;18;0;3;9625;9024;3377;0;1039;not equal
gerstenberg-ugolino;ger000032;Q1605849;Gerstenberg;0;Ugolino;Eine Tragödie in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:nds0.0;Winkler;München;1971;50;1768;4;FALSCH;1;1;1;several characters;3;1;###############################################################################################################################################################################################################################################################;1769;1768;3;4;0;4;0;0;1;6;;5;1;5;15471;15385;926;727;28;not equal
gessner-evander-und-alcimna;ger000294;Q52113436;Gessner;0;Evander und Alcimna;Ein Schæferspiel;;http://www.textgridrep.org/textgrid:ndtw.0;;;;;1762;15;FALSCH;5,09E+15;2,48E+16;1,95E+16;evander;3,47E+15;3;;;1762;10;15;4;11;0;0;1;26;1762;19;0;3;8849;8692;231;304;44;not equal
gleich-der-eheteufel-auf-reisen;ger000348;Q52114172;Gleich;0;Der Eheteufel auf Reisen;Lokales Zauberspiel mit Gesang in zwei Aufzügen;;http://www.textgridrep.org/textgrid:nfhm.0;;;;;1821;52;FALSCH;8,58E+15;1,06E+16;1,39E+16;several characters;5,42E+15;3;;1821;1822;9;52;15;32;5;8;6;141;;35;0;2;14096;13546;1175;482;124;not equal
gleim-philotas;ger000616;Q95720389;Gleim;0;Philotas;Ein Trauerspiel. Von dem Verfasser der preussischen Kriegeslieder vercificirt;Tragedy;https://de.wikisource.org/wiki/Philotas_(Gleim_1767);;Amsterdam;1767;34;1760;4;FALSCH;5,83E+15;6,67E+15;1,33E+16;philotas;2;2;;;1760;3;4;0;4;0;0;1;4;;8;0;0;3566;3498;39;0;551;not equal
goentgen-anna-bell;ger000719;Q131634169;Göntgen;0;Anna Bell;Ein Trauerspiel in einem Akt;Tragedy;https://books.google.com/books?id=42xVAAAAcAAJ&printsec=frontcover;Weiß;Offenbach und Frankfurt;1775;40;1775;6;FALSCH;8,67E+15;7,33E+15;1,27E+16;bell|sara;3,67E+16;2;;;1775;5;6;3;3;0;0;1;11;;6;0;0;5623;5377;278;111;0;equal
goering-seeschlacht;ger000668;Q110914124;Goering;0;Seeschlacht;Tragödie;Tragedy;https://archive.org/details/seeschlachttrag00goeruoft;S. Fischer;Berlin;1918;128;1917;10;FALSCH;1;1;1;several characters;9;1;10.02.18;1918;1917;9;10;0;10;0;1;1;45;;1;0;1;11490;11406;558;0;1875;not equal
goethe-clavigo;ger000157;Q466752;Goethe;0;Clavigo;Ein Trauerspiel;Tragedy;http://www.textgridrep.org/textgrid:11f81.0;;;;;1774;10;FALSCH;9,06E+15;8,44E+15;1,16E+16;carlos|clavigo|beaumarchais;76;2;;1774;1774;9;10;2;8;0;0;1;38;;5;8;5;14028;13930;800;442;0;not equal
goethe-das-jahrmarktsfest-zu-plundersweilern;ger000536;Q1678697;Goethe;0;Das Jahrmarktsfest zu Plundersweilern;Ein Schönbartspiel;Comedy;http://www.textgridrep.org/textgrid:11g68.0;;;;;1778;29;FALSCH;1;1;1;several characters;28;1;;1778;1789;28;29;7;22;0;0;1;406;1773/1778;1;1;0;4540;4446;244;0;641;not equal
goethe-der-buergergeneral;ger000106;Q1192735;Goethe;0;Der Bürgergeneral;Ein Lustspiel in einem Aufzuge;Comedy;http://www.textgridrep.org/textgrid:11f9k.0;;;;;1793;7;FALSCH;9,24E+15;9,05E+15;1,10E+16;several characters;5,43E+15;2;;1793;1793;6;7;1;6;0;0;1;19;1793;14;3;0;8298;8150;773;924;0;not equal
goethe-der-grosskophta;ger000198;Q1194014;Goethe;0;Der Großkophta;Ein Lustspiel in fünf Aufzügen;Comedy;http://www.textgridrep.org/textgrid:11g5f.0;;;;;1791;32;FALSCH;8,15E+14;2,20E+16;1,85E+16;domherr|der_ritter;68125;3;;1791;1792;21;32;6;24;2;8;2;109;;37;1;5;23618;23047;2130;897;16;not equal
goethe-der-triumph-der-empfindsamkeit;ger000130;Q1197615;Goethe;0;Der Triumph der Empfindsamkeit;Eine dramatische Grille;;http://www.textgridrep.org/textgrid:11h10.0;;;;;1778;14;FALSCH;8,57E+15;4,73E+15;1,59E+16;mandandane;6,14E+15;3;;1778;1787;11;14;8;5;1;2;1;43;1777;6;2;6;12013;11799;1413;406;509;not equal
goethe-des-epimenides-erwachen;ger000458;Q54371386;Goethe;0;Des Epimenides Erwachen;Ein Festspiel;;http://www.textgridrep.org/textgrid:11g5g.0;;;;;1815;22;FALSCH;7,51E+15;3,12E+15;2,59E+15;epimenides;6,55E+15;6;;1815;1815;11;22;2;9;11;4;2;72;;25;1;2;6947;6642;1049;0;990;not equal
goethe-die-laune-des-verliebten;ger000224;Q1214293;Goethe;0;Die Laune des Verliebten;Ein Schäferspiel in Versen und einem Akte;;http://www.textgridrep.org/textgrid:11fzp.0;Aufbau-Verlag;Berlin und Weimar;1964;23;1768;4;FALSCH;8,33E+15;8,33E+15;1,17E+16;amine|egle;25;2;###############################################################################################################################################################################################################################################################;1779;1806;3;4;2;2;0;0;1;5;1767/1768;9;3;0;5687;5586;434;0;662;equal
goethe-die-mitschuldigen;ger000178;Q1214841;Goethe;0;Die Mitschuldigen;Ein Lustspiel in einem Akte;Comedy;http://www.textgridrep.org/textgrid:11hb1.0;;;;;1776;4;FALSCH;1;1;1;several characters;3;1;;1776;1909;3;4;1;3;0;0;1;6;1768/1769;15;2;0;7503;7315;916;0;889;not equal
goethe-die-natuerliche-tochter;ger000038;Q1219062;Goethe;0;Die natürliche Tochter;Trauerspiel;Tragedy;http://www.textgridrep.org/textgrid:11g3h.0;;;;;1803;11;FALSCH;6,59E+15;3,27E+16;1,76E+16;eugenie;3,27E+15;3;;1803;1803;8;11;3;8;0;0;1;18;1801/1803;28;4;5;20798;20565;516;0;3004;not equal
goethe-die-wette;ger000511;Q41744079;Goethe;0;Die Wette;Ein Lustspiel in einem Akt;Comedy;https://books.google.com/books?id=Y2jfAAAAMAAJ&pg=PA119;;;;;1812;6;FALSCH;1;1;1;several characters;5;1;;;1837;5;6;2;4;0;0;1;15;1812;5;0;0;3805;3563;267;128;0;not equal
goethe-egmont;ger000442;Q1298242;Goethe;0;Egmont;Ein Trauerspiel in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:11g9w.0;;;;;1788;31;FALSCH;8,60E+14;3,66E+15;1,65E+16;egmont;1,10E+15;3;;1789;1788;24;31;3;26;2;2;2;170;1775/1787;13;16;5;25839;25545;1133;820;30;not equal
goethe-erwin-und-elmire;ger000383;Q1363635;Goethe;0;Erwin und Elmire;Ein Schauspiel mit Gesang;;http://www.textgridrep.org/textgrid:11gtp.0;;;;;1775;4;FALSCH;1;1;1;several characters;3;1;;1775;1775;3;4;2;2;0;0;1;6;1774/1775;1;4;0;6434;6357;274;195;247;equal
goethe-faust-der-tragoedie-zweiter-teil;ger000201;Q267510;Goethe;0;Faust. Der Tragödie zweiter Teil;In fünf Akten;Tragedy;http://www.textgridrep.org/textgrid:11d11.0;;;;;1832;189;FALSCH;9,45E+15;1,14E+16;2,33E+16;mephistopheles;2,15E+15;4;;1856;1832;98;189;73;88;28;46;3;2031;1825/1831;27;7;5;47820;47516;2036;0;7583;not equal
goethe-faust-eine-tragoedie;ger000243;Q13221881;Goethe;0;Faust;Eine Tragödie;Tragedy;http://www.textgridrep.org/textgrid:11g5q.0;;;;;1808;115;FALSCH;9,71E+15;2,02E+16;1,70E+16;faust;2,30E+16;3;;1819;1808;67;115;18;60;37;22;3;1325;1797/1806;28;9;0;30912;30294;1338;20;4641;not equal
goethe-faust-in-urspruenglicher-gestalt;ger000539;Q2500544;Goethe;0;Faust [in ursprünglicher Gestalt];;;http://www.textgridrep.org/textgrid:11f7n.0;;;;;1775;15;FALSCH;7,33E+15;2,86E+15;1,96E+16;faust;4;3;;1918;1887;10;15;3;9;3;1;1;30;1772/1775;20;4;0;12477;12313;756;147;1556;not equal
goethe-goetter-helden-und-wieland;ger000409;Q1559765;Goethe;0;Götter, Helden und Wieland;Eine Farce;;http://www.textgridrep.org/textgrid:11h60.0;;;;;1774;10;FALSCH;1;1;1;several characters;9;1;;;1774;9;10;2;8;0;0;1;45;1773;1;1;0;3681;3663;26;141;0;not equal
goethe-goetz-von-berlichingen-mit-der-eisernen-hand;ger000123;Q1369241;Goethe;0;Götz von Berlichingen mit der eisernen Hand;Ein Schauspiel;;http://www.textgridrep.org/textgrid:11g1d.0;;;;;1773;79;FALSCH;8,52E+15;8,67E+14;2,49E+16;goetz;6,76E+16;5;;1774;1773;46;79;9;70;0;0;2;267;1771/1773;55;12;5;28412;27888;1058;1435;41;not equal
goethe-iphigenie-auf-tauris;ger000001;Q475063;Goethe;0;Iphigenie auf Tauris;Ein Schauspiel;;http://www.textgridrep.org/textgrid:11f78.0;;;;;1787;5;FALSCH;1;1;1;several characters;4;1;;1800;1787;4;5;1;4;0;0;1;10;;20;14;5;15153;15042;129;0;2202;not equal
goethe-pandora;ger000575;Q2049303;Goethe;0;Pandora;Ein Festspiel;;http://www.textgridrep.org/textgrid:11fg5.0;;;;;1810;12;FALSCH;1;1;1;several characters;11;1;;;1810;11;12;3;9;0;3;1;66;1807/1808;1;2;0;7234;6982;229;0;1101;not equal
goethe-proserpina;ger000356;Q55102470;Goethe;0;Proserpina;Ein Monodrama;;http://www.textgridrep.org/textgrid:11hb5.0;;;;;1778;2;FALSCH;0;1;1;die_parzen|proserpina;1;1;;1778;1778;1;2;2;0;0;1;1;1;;1;0;0;1221;1200;17;9;0;not equal
goethe-satyros;ger000388;Q19226867;Goethe;0;Satyros oder der vergötterte Waldteufel;Drama;;http://www.textgridrep.org/textgrid:11gn9.0;;;;;1773;16;FALSCH;8,82E+15;6,42E+15;1,36E+16;several characters;9625;2;;;1817;15;16;3;13;0;1;1;77;1773;5;1;5;3119;3051;182;0;498;not equal
goethe-stella;ger000126;Q2342072;Goethe;0;Stella;Ein Schauspiel für Liebende;;http://www.textgridrep.org/textgrid:11hdv.0;;;;;1776;10;FALSCH;9,05E+15;8,44E+15;1,16E+16;several characters;76;2;;1776;1776;9;10;5;5;0;0;1;38;1775;5;4;5;12136;12058;667;444;0;equal
goethe-torquato-tasso;ger000082;Q1432001;Goethe;0;Torquato Tasso;Ein Schauspiel;;http://www.textgridrep.org/textgrid:11d2m.0;;;;;1790;5;FALSCH;1;1;1;several characters;4;1;;1807;1790;4;5;2;3;0;0;1;10;1780/1789;24;9;5;25603;25445;260;0;3476;not equal
gotter-der-dorfjahrmarkt;ger000009;Q55102998;Gotter;0;Der Dorfjahrmarkt;Eine komische Oper in zwei Aufzügen;;http://www.textgridrep.org/textgrid:nkdt.0;;;;;1775;18;WAHR;8,06E+14;6,27E+15;1,40E+16;lukas|fikfak;1,07E+16;3;;1775;1778;16;18;4;14;0;2;1;96;;25;0;2;11547;11210;1474;623;226;not equal
gotter-die-erbschleicher;ger000620;Q119458026;Gotter;0;Die Erbschleicher;Ein Lustspiel in fünf Akten;Comedy;https://www.deutschestextarchiv.de/gotter_erbschleicher_1789;Dyk;Leipzig;1789;224;1788;10;FALSCH;8,38E+15;7,56E+15;1,24E+16;justine|gerhard;68;2;###############################################################################################################################################################################################################################################################;1788;1789;9;10;4;6;0;0;1;34;;76;0;5;28622;27540;4058;1894;6;not equal
gotter-die-geisterinsel;ger000061;Q60788321;Gotter;1;Die Geisterinsel;Ein Singspiel in drey Akten;;http://www.textgridrep.org/textgrid:nkdq.0;;;;;1798;13;WAHR;8,47E+15;7,69E+15;1,23E+16;miranda|prospero;9,23E+14;2;;1798;;12;13;1;10;2;4;1;60;;28;1;3;13185;11699;2425;356;1079;not equal
gotter-medea;ger000246;Q3853644;Gotter;0;Medea;;;http://www.textgridrep.org/textgrid:nkdm.0;;;;;1775;5;WAHR;7;7;13;medea;28;2;;1775;1782;4;5;2;3;0;0;1;7;;5;3;0;2222;2161;304;43;0;not equal
gottsched-atalanta;ger000252;Q55103320;Gottsched;0;Atalanta, oder die bezwungene Sprödigkeit;Ein Schäferspiel, in fünf Aufzügen;;http://www.textgridrep.org/textgrid:nkww.0;De Gruyter;Berlin;1970;94;1741;9;FALSCH;9,37E+15;8,89E+15;1,11E+16;several characters;7,11E+15;2;;;1741;8;9;3;6;0;0;1;32;;37;0;5;15579;15082;405;0;1753;not equal
gottsched-der-sterbende-cato;ger000244;Q51396085;Gottsched;0;Der sterbende Cato;Ein Trauerspiel;Tragedy;http://www.textgridrep.org/textgrid:nks0.0;De Gruyter;Berlin;1970;114;1731;10;FALSCH;7,92E+15;5,56E+15;1,47E+16;cato;5;3;;1731;1732;8;10;2;8;0;0;1;25;1730;31;0;5;20077;14889;371;1;1712;not equal
gottschedin-das-testament;ger000220;Q42291271;Gottsched;0;Das Testament;Ein deutsches Lustspiel in fünf Aufzügen;Comedy;http://www.textgridrep.org/textgrid:nm24.0;;;;;1745;12;FALSCH;8,28E+15;6,36E+15;1,39E+15;fraeulein_amalie;7;3;;;1745;10;12;3;9;0;0;1;42;;39;1;5;24529;24023;1682;1111;0;not equal
gottschedin-der-witzling;ger000395;Q55102908;Gottsched;0;Der Witzling;Ein deutsches Nachspiel in einem Aufzuge;Comedy;http://www.textgridrep.org/textgrid:nm27.0;de Gruyter;Berlin;1962;31;1745;7;FALSCH;7,33E+15;6,67E+15;1,33E+16;jungfer_lottchen;4;2;;;1745;6;7;1;6;0;0;1;14;;9;1;0;8830;8626;593;369;3;not equal
gottschedin-die-pietisterey-im-fischbein-rocke;ger000462;Q15805796;Gottsched;0;Die Pietisterey im Fischbein-Rocke oder Die Doctormäßige Frau;;Comedy;http://www.textgridrep.org/textgrid:nm2b.0;;;;;1736;16;FALSCH;8,22E+15;4,42E+16;1,56E+16;frau_glaubeleichtin;6625;2;;;1736;15;16;8;8;0;0;1;53;;40;1;5;24032;21891;460;1032;18;equal
grabbe-die-hermannsschlacht;ger000516;Q1213366;Grabbe;0;Die Hermannsschlacht;;;http://www.textgridrep.org/textgrid:nmgc.0;;;;;1838;106;FALSCH;9,56E+15;1,60E+16;1,82E+16;hermann;1,68E+16;3;;1936;1838;82;106;6;99;1;15;3;892;1835/1836;17;1;0;16349;15886;1757;776;3;not equal
grabbe-don-juan-und-faust;ger000209;Q1239218;Grabbe;0;Don Juan und Faust;Eine Tragödie in vier Akten;Tragedy;http://www.textgridrep.org/textgrid:nmg0.0;;;;;1829;21;FALSCH;9,50E+15;6,38E+14;1,39E+16;faust;1,28E+16;3;;1829;1829;18;21;2;14;5;0;1;134;1829;11;2;4;23458;23218;1462;33;3395;not equal
grabbe-hannibal;ger000393;Q1576146;Grabbe;0;Hannibal;;;http://www.textgridrep.org/textgrid:nmfv.0;;;;;1835;118;FALSCH;9,24E+15;9,01E+15;2,19E+16;hannibal;1,05E+16;4;;1918;1835;40;118;11;95;12;28;4;622;1834/1835;28;1;5;17658;17173;1888;927;0;not equal
grabbe-herzog-theodor-von-gothland;ger000158;Q1615219;Grabbe;0;Herzog Theodor von Gothland;Eine Tragödie in fünf Akten;Tragedy;http://www.textgridrep.org/textgrid:nmg5.0;;;;;1827;61;FALSCH;8,84E+15;3,26E+15;1,67E+16;berdoa;1,96E+15;2;;1892;1827;57;61;2;59;0;20;1;597;1818/1822;17;1;5;43429;42944;5033;0;6988;not equal
grabbe-kaiser-friedrich-barbarossa;ger000517;Q104518654;Grabbe;0;Kaiser Friedrich Barbarossa;Eine Tragödie in fünf Akten;Tragedy;http://www.textgridrep.org/textgrid:nmfs.0;;;;;1829;82;FALSCH;8,63E+14;2,82E+16;1,81E+16;kaiser_friedrich;2,28E+16;3;;1875;1829;71;82;3;72;7;22;1;936;1829;12;0;5;22949;22460;2094;57;3150;not equal
grabbe-kaiser-heinrich-der-sechste;ger000518;Q104520895;Grabbe;0;Kaiser Heinrich der Sechste;Eine Tragödie in fünf Akten;Tragedy;http://www.textgridrep.org/textgrid:nmf9.0;;;;;1830;80;FALSCH;8,34E+15;1,56E+16;2,39E+15;koenig_heinrich_kaiser_heinrich;1235;4;;1875;1830;42;80;7;70;3;8;2;494;1829;15;0;5;31255;30563;2103;251;3828;not equal
grabbe-napoleon;ger000378;Q1964966;Grabbe;0;Napoleon oder Die hundert Tage;Ein Drama in fünf Aufzügen;;http://www.textgridrep.org/textgrid:nmfn.0;;;;;1831;259;FALSCH;9,54E+15;8,90E+15;2,83E+14;chassecoeur|vitry;2,30E+16;6;;1895;1831;106;259;23;199;37;0;4;2974;1829/1831;25;1;5;38123;36630;3142;1851;124;not equal
grabbe-scherz-satire-ironie-und-tiefere-bedeutung;ger000380;Q2233825;Grabbe;0;Scherz, Satire, Ironie und tiefere Bedeutung;Ein Lustspiel in drei Aufzügen;Comedy;http://www.textgridrep.org/textgrid:nmfg.0;;;;;1827;27;FALSCH;8,64E+15;5,01E+15;1,51E+16;schulmeister|mollfels;1,30E+16;3;;1876;1827;24;27;3;24;0;1;1;176;1822;14;1;3;17047;16718;1865;582;12;not equal
grillparzer-der-gastfreund;ger000513;Q104443343;Grillparzer;0;Der Gastfreund;Trauerspiel in einem Aufzuge;Tragedy;http://www.textgridrep.org/textgrid:np6j.0;;;;;1821;12;FALSCH;1;1;1;several characters;11;1;;1821;1822;11;12;5;7;0;2;1;66;1818;1;0;1;4280;4023;565;0;619;not equal
grillparzer-der-traum-ein-leben;ger000358;Q16831017;Grillparzer;0;Der Traum ein Leben;Dramatisches Märchen in vier Aufzügen;;http://www.textgridrep.org/textgrid:nns8.0;;;;;1834;17;FALSCH;8,95E+15;6,32E+15;1,37E+16;zanga|rustan|guelnare;1,01E+16;2;;1834;1840;16;17;4;13;0;1;1;86;1817/1830;4;1;4;18707;18412;3436;0;2914;not equal
grillparzer-des-meeres-und-der-liebe-wellen;ger000010;Q48929649;Grillparzer;0;Des Meeres und der Liebe Wellen;Trauerspiel in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:npsg.0;;;;;1831;11;FALSCH;1;1;1;several characters;10;1;;1831;1840;10;11;3;7;1;2;1;55;1826/1829;5;0;5;19626;19301;2718;0;2452;not equal
grillparzer-die-ahnfrau;ger000444;Q1210952;Grillparzer;0;Die Ahnfrau;Trauerspiel in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:nsv5.0;;;;;1817;10;FALSCH;9,07E+15;8,67E+15;1,13E+16;guenther|jaromir|hauptmann;78;2;;1817;1817;9;10;2;7;1;1;1;39;1816;5;2;5;19045;18884;1430;0;3442;not equal
grillparzer-die-argonauten;ger000514;Q104443346;Grillparzer;0;Die Argonauten;Trauerspiel in vier Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:np6j.0;;;;;1821;17;FALSCH;8,67E+14;5,66E+15;1,43E+16;medea;9,06E+15;2;;1821;1822;16;17;5;11;1;1;1;77;1818/1819;9;0;4;15827;15476;2566;0;2172;not equal
grillparzer-die-juedin-von-toledo;ger000170;Q1213719;Grillparzer;0;Die Jüdin von Toledo;Historisches Trauerspiel in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:ns3r.0;;;;;1851;16;FALSCH;8,50E+15;65;135;koenig|garceran;975;2;;1872;1872;15;16;5;10;1;1;1;78;1839/1851;5;4;5;16965;16716;1956;0;2144;not equal
grillparzer-ein-bruderzwist-in-habsburg;ger000121;Q1304349;Grillparzer;0;Ein Bruderzwist in Habsburg;Trauerspiel in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:ns9c.0;;;;;1848;44;FALSCH;8,48E+15;2,78E+16;1,83E+15;klesel|leopold;1,20E+16;3;;1872;1872;30;44;1;41;2;6;1;263;1848;12;1;5;25676;25287;3271;0;3205;not equal
grillparzer-ein-treuer-diener-seines-herrn;ger000372;Q28648395;Grillparzer;0;Ein treuer Diener seines Herrn;Trauerspiel in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:nvk1.0;;;;;1828;37;FALSCH;8,85E+15;4,22E+15;1,58E+15;bancbanus|otto;1,52E+15;2;;1828;1830;36;37;6;29;2;2;1;281;1826/1827;5;1;5;20229;19954;3152;0;2475;not equal
grillparzer-koenig-ottokars-glueck-und-ende;ger000286;Q168201;Grillparzer;0;König Ottokars Glück und Ende;Trauerspiel in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:nttc.0;;;;;1825;55;FALSCH;8,87E+15;4,69E+16;1,53E+16;several characters;2,53E+16;2;;1825;1825;54;55;7;44;4;4;1;697;1823;5;5;5;27076;26730;3706;0;3424;not equal
grillparzer-libussa;ger000512;Q48929803;Grillparzer;0;Libussa;Trauerspiel in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:ntqj.0;;;;;1848;32;FALSCH;9,15E+15;5,71E+15;1,43E+16;libussa;176875;2;;1874;1872;31;32;12;20;0;3;1;283;1825/1848;15;0;5;22259;21733;2451;0;2808;not equal
grillparzer-medea;ger000515;Q104443347;Grillparzer;0;Medea;Trauerspiel in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:np6j.0;;;;;1821;12;FALSCH;8,67E+15;6,97E+14;1,30E+15;jason|koenig;7,67E+15;2;;1821;1822;11;12;5;7;0;0;1;46;1819/1820;6;0;5;19495;19247;1383;0;2665;not equal
